	Portugues	Українська	日本語	한국어	简体中文	繁體中文	UI language name
1806	Considerando o clima economico atual e os dados historicos, eu aconselharia cautela. Talvez voce deva considerar outras formas de investimento por enquanto.	З огляду на поточний економічний клімат та історичні дані, я б радив бути обережним. Можливо, поки що тобі варто розглянути інші шляхи інвестування.	今の経済情勢や過去のデータを踏まえると、慎重になるべきだろう。今は他の投資手段を考えた方がいいかもしれないな。	현재 경제 상황과 과거의 데이터를 감안한다면 신중한 게 좋을 거예요. 지금은 다른 투자 수단을 고려하는 것도 좋겠어요.	鉴于当前的经济环境和历史数据，我建议您谨慎行事。也许您现在应该考虑其他投资途径。	鑑於當前的經濟環境和歷史數據，我建議您謹慎行事。也許您現在應該考慮其他投資途徑。	Man
1807	Ah, eu nao sei muito sobre acoes... mas, talvez voce deva perguntar a alguem mais experiente?	Я не дуже багато знаю про акції... але, можливо, тобі варто запитати когось більш досвідченого?	ええっ、私は株のことはよくわからないんだけど…でも、誰かもっと経験のある人に聞いてみたらいいんじゃない？	음, 전 주식에 대해 잘 몰라서... 경험이 더 많은 사람한테 물어보는 게 낫지 않겠어요?	哦，我不太懂股票……不过，嗯，也许您应该去问问更有经验的人。	哦，我不太懂股票……不過，嗯，也許您應該去問問更有經驗的人。	Woman
1808	Com base nas previsoes algoritmicas atuais e nos comportamentos passados, eu sugeriria que voce diversificasse. E... nao, eu nao vou a reuniao social hoje a noite.	Ґрунтуючись на поточних алгоритмічних прогнозах і минулій поведінці, я б порадила вам диверсифікувати. І... ні, я не прийду сьогодні на вечірку.	現在のアルゴリズム予測と過去の動きを踏まえると、分散投資をお勧めするわ。それから…今夜の飲み会には私は行かないわ。	지금의 알고리즘 예측과 과거의 패턴을 감안한다면 분산 투자를 추천하겠어요. 그리고... 오늘 모임에는 안 낄게요.	根据目前的算法预测和过去的行为，我建议您分散投资。还有……不，我今晚不来参加社交活动了。	根據目前的算法預測和過去的行為，我建議您分散投資。還有……不，我今晚不來參加社交活動了。	Woman
1809	Acoes? Querido, tudo o que sei e que se elas estao subindo, e bom! Ora-ora, talvez possamos discutir isso durante o cafe?	Акції? Серденько, все, що я знаю, це те, що якщо вони ростуть, то це добре! Може, обговоримо це за кавою?❤	株？あなたったら、私が知っているのは、上がっているなら、それは良いってことだけ！そうね、コーヒーでも飲みながら話しましょうよ。	주식이요? 제가 아는 건 주가가 오르면 좋다는 것 뿐이에요. 그래, 커피라도 마시면서 얘기하는 게 어때요?	股票？亲爱的，我只知道如果它们涨了，就是好事！咯咯，也许我们可以边喝咖啡边讨论？	股票？親愛的，我只知道如果它們漲了，就是好事！咯咯，也許我們可以邊喝咖啡邊討論？	Woman
1810	De uma perspectiva holistica, considerando os padroes socioeconomicos, seria sensato ser cauteloso. Certifique-se de fazer sua devida diligencia.	"З цілісної точки зору, враховуючи соціально-економічні моделі, було б розумно бути обережним. "	社会経済的パターンを考慮すると、全体的な観点からは慎重になるのが賢明ね。それから、デューデリジェンスを確実に行なうことよ。	사회 경제적 패턴을 고려한다면 큰 그림에서 신중하게 처신하는 게 현명하지요. 그리고 기업실사도 확실히 하셔야 하고.	从整体角度来看，考虑到社会经济模式，谨慎行事是明智之举。确保尽职尽责。	從整體角度來看，考慮到社會經濟模式，謹慎行事是明智之舉。確保盡職盡責。	Woman
1811	Eu tenho algumas acoes daquela empresa de brinquedos. Sabe, aquela com os robos? Ouvi dizer que esta indo bem.	У мене є кілька акцій тієї компанії, що виробляє іграшки. Знаєш, та, що з роботами? Кажуть, справи йдуть добре.	おもちゃ会社の株を何株か持っているんだ。あのロボットの会社だよ。業績が順調に伸びていると聞いたよ。	그 장난감 회사에 지분이 좀 있어요. 그 왜, 로봇 만드는 데 있죠? 요새 잘 나간다더라구요.	我在那家玩具公司有几股股份，您知道的，就是有机器人的那家。听说生意不错。	我在那家玩具公司有幾股股份，您知道的，就是有機器人的那家。聽說生意不錯。	Man
1812	Li alguns artigos e graficos. E fascinante como os padroes surgem, mas nao tenho certeza sobre a atual volatilidade do mercado.	Я прочитав кілька статей і графіків. Цікаво, як виникають закономірності, але я не впевнений щодо нинішньої волатильності ринку.	いくつかの記事やチャートを読んでみた。パターンがどのように現れるかは興味深いけど、今の市場のボラティリティについてはよくわからないな。	기사랑 차트를 좀 보니까 흥미로운 패턴이 좀 보이는 것 같은데, 지금 시장의 불안정성에 대해서는 말을 아끼겠습니다.	我阅读了一些文章和图表。模式的出现令人着迷，但我不确定市场目前的波动性。	我閱讀了一些文章和圖表。模式的出現令人著迷，但我不確定市場目前的波動性。	Man
1813	Cartoes de beisebol podem ser um investimento melhor neste momento, nao acha? Ouvi dizer que o cartao de novato do Suzuki esta sendo vendido por uma tonelada.	Чи не здається тобі, що бейсбольні картки можуть бути кращою інвестицією на цьому етапі? Я чув, що картка новачка Сузукі продається за купу грошей.	今だったらプロ野球カードの方がいい投資になるんじゃないか。スズキ選手のルーキーカードがとんでもない高値で取引されているらしいぞ。	이 시점에는 차라리 야구 카드에 투자하는 게 더 현명하겠네, 그죠? 스즈키의 루키 카드가 굉장한 값어치라 들었는데.	棒球卡可能是目前更好的投资，您觉得呢？我听说铃木的新秀卡卖得很贵。	棒球卡可能是目前更好的投資，您覺得呢？我聽說鈴木的新秀卡賣得很貴。	Man
1814	O desempenho do Mikkei e um indicador interessante, mas tambem e preciso considerar os eventos globais e seus efeitos em cascata em nosso mercado domestico.	Показник Mikkei - цікавий індикатор, але потрібно також враховувати глобальні події та їхні хвильові ефекти на нашому внутрішньому ринку.	Mikkeiの業績指標は興味深いけど、世界的な出来事やそれが国内市場におよぼす波及効果も考慮しないとね。	닛케이 실적 지수가 흥미로운 지표긴 하지만, 세계에서 벌어지는 사건들과 국내 시장에 미치는 파급 효과도 고려해야 돼요.	日经指数是一个有趣的指标，但我们还必须考虑全球事件及其对我们国内市场的连锁反应。	日經指數是一個有趣的指標，但我們還必須考慮全球事件及其對我們國內市場的連鎖反應。	Man
1815	Eu acho que tenho algumas acoes em algum lugar, talvez naquela marca de roupas bonita? Talvez eu deva verificar.	Здається, у мене десь є акції, можливо, цього симпатичного бренду одягу? Треба перевірити.	どこかの株を持ってたと思うんだけど、あのかわいい服のブランドだったかしら。確かめたほうがよさそうね。	저도 나름 주식을 좀 샀던 것 같은데, 아마 되게 귀여운 옷 브랜드였을 거예요. 한번 확인해봐야겠네.	我想我在某个地方有一些股份，也许是那个可爱的服装品牌的？我也许应该查一查。	我想我在某個地方有一些股份，也許是那個可愛的服裝品牌的？我也許應該查一查。	Woman
1816	As mudancas recentes do mercado sao intrigantes. Isso me faz pensar sobre as implicacoes de longo prazo dos investimentos estrangeiros.	Останні зміни на ринку інтригують. Змушують замислитися над довгостроковими наслідками іноземних інвестицій.	近ごろの市場の変化は興味深いわ。海外投資の長期的影響が気になるわね。	최근 시장의 변화가 좀 흥미로워요. 해외 투자의 장기적 영향도 궁금해지네요.	市场最近的变化耐人寻味。这让我对外国投资的长期影响产生了疑问。	市場最近的變化耐人尋味。這讓我對外國投資的長期影響產生了疑問。	Woman
1817	Acoes e bolsas, tao confusos! Eu prefiro investir em uma boa bolsa de mao. Dizem que e tao boa quanto ouro!	Акції та облігації, це так заплутано! Я б краще вклала гроші в гарну сумочку. Кажуть, що вона не гірша за золото!	株とか証券とか紛らわしい！私はむしろ素敵な高級ハンドバッグに投資したいわ。金投資に勝るとも劣らないと言われているわよ！	지분이니, 증권이니, 헷갈려 죽겠어요! 차라리 멋진 명품 핸드백에 투자하고 싶네. 금 투자만큼이나 확실하다잖아요!	搞懂股票太麻烦了！我宁愿拿钱去投资一个好包包，人家都说，包能抵万金！	搞懂股票太麻煩了！我寧願拿錢去投資一個好包包，人家都說，包能抵萬金！	Woman
1818	Diversificacao e analise completa sao fundamentais. Nao se pode simplesmente confiar nas tendencias superficiais; o conhecimento profundo do mercado e fundamental.	Диверсифікація та ретельний аналіз є запорукою успіху. Не можна просто покладатися на поверхневі тенденції; глибоке знання ринку має першорядне значення.	分散投資と徹底した分析が重要なの。表面的なトレンドを鵜呑みにしてはダメ。深い市場知識を身につけることが肝心よ。	분산투자와 철저한 분석이 핵심이에요. 피상적인 트렌드만 믿어서는 안돼요. 깊은 시장 지식을 쌓아 주는 게 중요하죠.	多样化和全面分析是关键。不能简单地依赖表面趋势，对市场的深入了解至关重要。	多樣化和全面分析是關鍵。不能簡單地依賴表面趨勢，對市場的深入了解至關重要。	Woman
1819	Comprei acoes daquela empresa com comerciais peculiares. Acha que foi uma boa ideia?	Купив акції цієї компанії з чудернацькою рекламою. Це була гарна ідея?	奇抜な広告を打ってるあの会社の株を買ったんだ。判断は間違ってなかったかな？	전 기발한 광고를 하는 기업의 주식을 샀어요. 그 판단이 틀린 건 아니었나 봐요?	我买了那家有古怪广告的公司的股票。您觉得这是个好主意吗？	我買了那家有古怪廣告的公司的股票。您覺得這是個好主意嗎？	Man
1820	Ha um intrigante padrao de baixa se formando, mas os fundamentos ainda parecem solidos. Decisao dificil.	Формується інтригуюча ведмежа модель, але фундаментальні показники все ще здаються міцними. Важко сказати.	興味深い弱気のパターンがでてるけど、ファンダメンタルはまだしっかりしているようだね。難しい判断だな。	흥미로운 약세 패턴이 나타나고 있긴 한데, 펀더멘탈은 확실히 견고하네요. 이거 어렵습니다.	看跌形态正在形成，但基本面似乎仍然稳固。艰难的抉择。	看跌形態正在形成，但基本面似乎仍然穩固。艱難的抉擇。	Man
1821	Acoes? Mano, eu so sigo onde esta a acao. Comprei algumas acoes daquela empresa com um jingle legal.	Акції? Друже, я просто слідкую за тим, що відбувається. Купив трохи у тієї компанії з крутим рекламним слоганом.	株かい？俺はただ動きのあるところを追ってるだけさ。イケてる宣伝文句を流しているあの会社の株を買ったよ。	지분이요? 난 그냥 움직임을 쫓을 뿐이에요. 멋진 홍보를 하는 기업의 주식을 샀죠.	股票？兄弟，我只是跟风。我从那家广告词很酷的公司买了一些。	股票？兄弟，我只是跟風。我從那家廣告詞很酷的公司買了一些。	Man
1822	O sentimento do mercado e os indicadores tecnicos estao em desacordo no momento. E um enigma para qualquer investidor serio.	Ринкові настрої і технічні індикатори наразі не збігаються. Це загадка для будь-якого серйозного інвестора.	市場のセンチメントとテクニカル指標が今は相反している。真面目な投資家にとっては難問だな。	시장 심리와 기술적 지표가 상충하는 상황입니다. 전업 투자자들에게는 상당히 난감한 시기죠.	目前，市场情绪和技术指标相互矛盾。对于任何严肃的投资者来说，这都是一个难题。	目前，市場情緒和技術指標相互矛盾。對於任何嚴肅的投資者來說，這都是一個難題。	Man
1823	Ah, acoes? Acho que meu irmao mencionou algo sobre uma empresa de tecnologia... ou seria textil?	О, акції? Здається, мій брат згадував щось про технологічну компанію... чи це був текстиль?	えっ、株ですか？それなら兄がテック企業について何か言ってたような…いや、繊維企業だったかな？	어, 주... 식이요? 우리 오빠가 기술 기업이라든가 뭐라든가 했던 것 같은데... 아니, 기름 기업이었나?	哦，股票？我想我哥哥提到过一家科技公司……还是纺织品公司？	哦，股票？我想我哥哥提到過一家科技公司……還是紡織品公司？	Woman
1824	E essencial entender os meandros da dinamica do mercado. Tenho monitorado de perto os padroes de velas.	Дуже важливо розуміти тонкощі ринкової динаміки. Я уважно стежу за свічковими моделями.	市場力学の複雑さをしっかり理解しないとダメよ。私はローソク足のパターンを注意深く追っているわ。	시장 역학의 복잡성을 잘 이해해야 돼요. 지금 촛대 패턴이 나타나는 것 같아서 주의 깊게 관찰 중이에요.	了解错综复杂的市场动态至关重要。我一直在密切关注K线图的走势。	了解錯綜複雜的市場動態至關重要。我一直在密切關注K線圖的走勢。	Woman
1825	Nao e empolgante quando os precos sobem e descem? Eu so queria que fosse tao divertido quanto fazer compras!	Хіба це не захоплююче, коли ціни то зростають, то падають? Хотілося б, щоб це було так само захоплююче, як шопінг!	株価が上がったり下がったりするとワクワクしますよねー。ショッピングのように楽しめればいいんですけどね。	주가가 널뛰는 걸 보면 가슴이 설렌다니까요. 쇼핑하듯이 즐길 수 있으면 좀 좋아.	价格时涨时跌，是不是很刺激？我只是希望它能像购物一样有趣！	價格時漲時跌，是不是很刺激？我只是希望它能像購物一樣有趣！	Woman
1826	A analise setorial revela algumas joias subvalorizadas. Mas, por outro lado, o timing do mercado e igualmente crucial.	Секторальний аналіз виявляє деякі недооцінені діаманти. Але, з іншого боку, не менш важливим є правильний підбір моменту на ринку.	部門別に分析すると、過小評価されている優良株が見つかることもあるわね。でも、市場のタイミングを見計らうことも同じくらい重要よ。	업종별 분석을 진행하다 보면 저평가된 우량주를 발견할 수도 있죠. 하지만 시장의 타이밍을 잘 파악하는 것도 중요해요.	行业分析揭示了一些价值被低估的瑰宝。不过，市场时机的把握同样至关重要。	行業分析揭示了一些價值被低估的瑰寶。不過，市場時機的把握同樣至關重要。	Woman
1827	Ouvi falar de acoes em uma empresa de sushi. Achei que deveria continuar!	Почув про акції в суші-компанії. Вирішив спробувати!	寿司会社の株の話を聞いたんだ。そいつで試してみようと思うんだ！	초밥 기업도 주식을 발행한다면서요. 그걸로 한탕 해볼까 봐요!	听说一家寿司公司有股票。我就想试试！	聽說一家壽司公司有股票。我就想試試！	Man
1828	A ultima vez que tentei entender um grafico de acoes, comecei a ler um manga sobre o mercado de acoes!	Востаннє, коли я намагався зрозуміти біржовий графік, я почав читати мангу про біржу!	株価チャートを理解しようと思って、株式市場の漫画を読み始めたんだ！	주가 차트를 이해해보려고 주식 만화를 읽기 시작했어요!	上次我试图理解股票图表时，我开始阅读一本关于股市的漫画！	上次我試圖理解股票圖表時，我開始閱讀一本關於股市的漫畫！	Man
1829	Comprei acoes de uma empresa de macarrao. Os dividendos sao enviados em macarrao!	Купив акції компанії з виробництва локшини. Дивіденди відправляють локшиною!	製麺会社の株を買ったらさ、株主優待でラーメンがごっそり送られてくるんだ！	국수 회사 주식을 좀 샀어요. 배당금도 국수로 준대요!	买了一家面条公司的股票。股息以面条的形式发送！	買了一家麵條公司的股票。股息以麵條的形式發送！	Man
1830	Uma vez tentei diversificar meu portfolio. Acabei com cinco tipos diferentes de macarrao instantaneo.	Якось я спробував диверсифікувати свій портфель. У підсумку купив п'ять різних видів локшини швидкого приготування.	ポートフォリオの投資先を分散させようと思ったらさ、結局、インスタントラーメンの会社5社をもつことになっちゃった。	한 번은 포트폴리오를 다각화해 보려 했는데, 결국 라면 회사 5개의 주식만 사들이게 됐어요.	我曾经尝试过投资组合多样化。结果买了五种不同类型的方便面。	我曾經嘗試過投資組合多樣化。結果買了五種不同類型的泡麵。	Man
1831	Uma dica sobre acoes? Claro! Se suas acoes cairem, sirva um pouco de saque. Ela subira ou voce nao se importara.	Якщо твої акції падають, випий саке. Вони або піднімуться, або тобі буде байдуже.	株式投資のコツですって？そうね、株が下がったらお酒を注ぐの。あとは株価が上がるか、そんなこと気にしなくなるかのどっちかになるから。	주식 투자 팁이요? 주가가 떨어지면 한잔 하세요. 그러면 오르든 말든 신경 안 쓰게 되니까.	股票小窍门？当然！如果您的股票跌了，倒点清酒。要么上涨，要么您就不在乎了。	股票小竅門？當然！如果您的股票跌了，倒點清酒。要嘛上漲，要嘛您就不在乎了。	Woman
1832	Nao tenho certeza do que posso dizer sobre esse assunto.	Не впевнена, що можу щось підказати на цю тему.	その話題については何か言えることがあるかどうかわからないわ。	이 주제에 대해 이야기해도 될지 모르겠네요.	在这个问题上，我不知道我能说什么。	在這個問題上，我不知道我能說什麼。	Woman
1833	Investi em acoes de maquiagem. Quando elas caiam, pelo menos eu ficava fabulosa chorando.	Я інвестувала в акцiї косметичної компанiї. Коли акції впадуть, я, хоча б виглядала чудово, хоч і в сльозах.	化粧品株に投資したら、株価が落ちてしまったの。でも、そんな時でも泣いている自分が素敵に見えたのよねー。	전 화장품 회사 주식을 샀어요. 주가가 떨어져도 예쁜 얼굴로 울 수 있겠죠.	我投了化妆品公司的股票。这样就算股价跌了，至少我伤心流泪的样子也是美的。	我投了化妝品公司的股票。這樣就算股價跌了，至少我傷心流淚的樣子也是美的。	Woman
1834	Ja notou como os tickers das acoes soam como uma linguagem secreta? Parece que estamos no ensino medio de novo.	Ти коли-небудь помічав, що біржові показники звучать як таємна мова? Наче знову в старших класах.	株式相場の表示って隠語みたいだって気づいたことある？なんだか高校時代に戻ったような気分よねー。	주가 표시명으로 줄인 회사 이름들이 되게 재밌지 않아요? 학창 시절에 말 줄여 하던 기억이 나네요.	有没有注意到股票代码听起来像一种秘密语言？感觉就像回到了高中时代。	有沒有注意到股票代碼聽起來像一種秘密語言？感覺就像回到了高中時代。	Woman
1835	Sem querer ofender, mas estamos conversando muito ultimamente. Vamos dar um tempo, sim?	Не ображайся, але останнім часом ми багато базікаємо. Може, зробимо невеличку перерву?	悪気はないんだけど、俺たち最近しゃべりぱなしだろ。ちょっと一息つかないか？	나쁜 뜻으로 하는 말은 아닌데, 우리 요즘 대화가 좀 많지 않았어요? 서로 잠깐 숨 좀 돌립시다.	无意冒犯，但我们最近聊得太多了。也许让我们喘口气，好吗？	無意冒犯，但我們最近聊得太多了。也許讓我們喘口氣，好嗎？	Man
1836	Gostei muito de nossas conversas, de verdade, mas preciso de um tempo so para mim. Vamos entrar em contato mais tarde?	Мені дуже сподобалися наші дискусії, але мені потрібно трохи побути наодинці з собою. Давай зв'яжемося пізніше?	話は本当に楽しかったけど、少し一人の時間が欲しいんだ。またあとで話すことにしないか？	서로 대화가 즐겁기는 하지만, 그래도 혼자만의 시간이 필요하긴 해요. 나중에 다시 얘기하지 않겠어요?	我很喜欢我们之间的讨论，真的，但我需要一些自己的时间。我们稍后再联系吧？	我很喜歡我們之間的討論，真的，但我需要一些自己的時間。我們稍後再聯繫吧？	Man
1837	Amigo, adoro nossos encontros, mas estou me sentindo um pouco sobrecarregado. Que tal uma pequena pausa para recarregar as energias?	Друже, мені подобаються наші посиденьки, але я відчуваю себе трохи перевантаженим. Як щодо короткої перерви, щоб перезарядитися?	おい、こうやって話し込むのは好きだけど、ちょっと疲れ気味なんだ。一休みして充電するってのはどうだ？	저기, 이렇게 얘기하는 것도 재밌긴 한데 그래도 좀 피곤하거든요. 잠시 쉬면서 숨 좀 돌리지 않을래요?	朋友，我喜欢我们的聚会，但我感觉有点力不从心。要不要休息一下，充充电？	朋友，我喜歡我們的聚會，但我感覺有點力不從心。要不要休息一下，充充電？	Man
1838	Eu valorizo nossas interacoes, mas pode ser benefico para nos dois termos um pouco de espaco por um tempo.	Я ціную нашу взаємодію, але нам обом буде корисно деякий час побути наодинці.	僕たちの交流は大切にしているけど、しばらく距離を置いた方がお互いのためにもなるかもしれない。	우리의 교류는 정말 소중하지만 잠시 거리를 두는 게 서로에게 도움이 될 수도 있을 것 같아요.	我很重视我们之间的互动，但暂时给我们双方留出一些空间可能对我们都有好处。	我很重視我們之間的互動，但暫時給我們雙方留出一些空間可能對我們都有好處。	Man
1839	Ei, acho que estamos conversando muito ultimamente. Talvez possamos fazer uma pequena pausa? Espero que voce entenda.	Слухай, я думаю, що ми багато розмовляємо останнім часом. Може, зробимо невелику перерву? Сподіваюся, ти зрозумієш.	ねえ、私たち最近よく話してると思うんだけど、一休みしてもいいかしら。分かってくれるわよね。	저기, 우리 요즘 너무 자주 보는 것 같은데 잠시 숨 좀 돌려도 될까요? 이해해 줄 거죠?	嘿，我觉得我们最近聊得太多了。也许我们可以休息一下？希望您能理解。	嘿，我覺得我們最近聊得太多了。也許我們可以休息一下？希望您能理解。	Woman
1840	Gostei muito de nossas conversas recentes, mas acho que preciso de um pouco de tempo para mim. Podemos conversar mais tarde?	Я ціную наші останні розмови, але мені потрібно трохи побути наодинці з собою. Ми можемо поговорити пізніше?	最近のお話しには感謝しているんですが、少し自分の時間が必要だって気がするんです。また今度お話ししてくれますか？	요새 같이 즐거운 대화를 즐기고는 있지만, 나만의 시간도 좀 필요한 것 같거든요. 다음에 불러 주겠어요?	我很感谢我们最近的谈话，但我想我需要一点私人时间。我们能晚点再聊吗？	我很感謝我們最近的談話，但我想我需要一點私人時間。我們能晚點再聊嗎？	Woman
1841	Ola! Estou me sentindo um pouco sobrecarregado com todas as nossas conversas. Podemos nos acalmar um pouco?	Привіт! Я почуваюся трохи перевантаженою всіма нашими розмовами. Не проти, якщо ми трохи охолонемо?	ねえ、雑談ばかりでちょっとうんざりしてきたの。一休みして少し頭を冷ましましょ。	저기, 서로 대화하는 것도 좀 지치거든요. 좀 쉬면서 머리 좀 식히죠.	您好！我们聊了这么多，我觉得有点忙不过来。介意我们冷静一下吗？	您好！我們聊了這麼多，我覺得有點忙不過來。介意我們冷靜一下嗎？	Woman
1842	Nossas interacoes extensas foram esclarecedoras, mas acredito que um breve hiato seria prudente.	Наше тривале спілкування було дуже пізнавальним, але я вважаю, що невелика перерва була б розумною.	あなたとの長いやり取りは有意義なものでしたけど、少しの間お休みするのが賢明だと思いますわ。	이렇게 진중한 대화는 분명 의미 있는 시간이지만 잠시 휴식을 취하는 것도 현명하다고 생각해요.	我们之间的广泛交流很有启发性，但我认为，为了谨慎起见，我们还是应该有一个短暂的休整期。	我們之間的廣泛交流很有啟發性，但我認為，為了謹慎起見，我們還是應該有一個短暫的休整期。	Woman
1843	Eu... hum, tenho um kit de modelo que estou querendo terminar. Podemos, talvez, nao conversar por um tempo? So preciso de um tempo para mim, sabe?	Мені треба закінчити модель, яку я давно збирався зібрати. Можна ми не будемо розмовляти деякий час? Мені просто потрібно трохи побути наодинці, добре?	僕…今、完成させたいプラモデルがあるんだ。だから、話は小休止ってことにしないか？自分の時間が欲しいんだよ。	그... 게, 요새 조립 중인 프라모델이 있어서. 나중에 만나는 게 어떨까요? 나만의 시간이 좀 필요해서요.	我……嗯，我有一个一直想完成的模型套件。我们能不能，呃，先不说话？我需要点时间。	我……嗯，我有一個一直想完成的模型套件。我們能不能，呃，先不說話？我需要點時間。	Man
1844	Com todo o respeito, tenho me aprofundado em algumas pesquisas ultimamente. Talvez seja melhor limitarmos nossas conversas por enquanto.	З усією повагою, я останнім часом занурився в дослідження. Буде краще, якщо ми поки що обмежимо наші розмови.	失礼ながら、私は最近研究に没頭しておりましてね。しばらくお話は控えさせていただきたいのです。	실례지만 요즘은 연구에 몰두하고 있어서요. 지금 당장은 서로 만나는 걸 좀 줄이지요.	恕我直言，我最近一直在潜心研究。我们现在最好还是少说话。	恕我直言，我最近一直在潛心研究。我們現在最好還是少說話。	Man
1845	Ei, amigo! Entre os treinos de beisebol e as noites de jogos, estou me sentindo um pouco sobrecarregado. Vamos dar uma esfriada nos bate-papos por um tempo, ok?	Привіт, друже! Між бейсбольними тренуваннями та вечірніми іграми, я почуваюся трохи перевтомленим. Давай на деякий час призупинимо балачки, гаразд?	やあ！今は野球の練習とナイターの試合でいっぱいいっぱいなんだ。しばらくの間、話すのはやめにしよう、いいかい？	안녕! 요새는 야구 연습하고 야간 경기 때문에 정신이 좀 없어서요. 당분간은 서로의 시간을 좀 가져 봐요.	嘿，朋友！棒球训练和晚上的比赛让我有点忙不过来。先别聊了，好吗？	嘿，朋友！棒球訓練和晚上的比賽讓我有點忙不過來。先別聊了，好嗎？	Man
1846	Nossas interacoes frequentes, embora esclarecedoras, tornaram-se um pouco excessivas. Gostaria de um breve hiato para me concentrar em meu trabalho.	Наші постійні розмови, хоч і пізнавальні, але стали дещо надмірними. Я був би вдячний за коротку перерву, щоб зосередитися на роботі.	僕らの度々にわたる対話はじつに有意義なものではあったが、やや過剰になっているようだ。これから仕事に集中するために、しばしの休止を願いたい。	서로 대화를 자주 갖는 게 정말 의미 있는 일이긴 하지만, 그래도 좀 지나친 것 같기도 해요. 이제부터는 좀 자제하면서 업무에 집중하겠습니다.	我们之间频繁的交流虽然很有启发性，但已经有点过度了。我希望能有一个短暂的休整期，以便专注于我的工作。	我們之間頻繁的交流雖然很有啟發性，但已經有點過度了。我希望能有一個短暫的休整期，以便專注於我的工作。	Man
1847	Oh, hum, nao e voce... Eu so... preciso de um tempo para ficar sozinho. Talvez ler um livro ou algo assim. Podemos conversar menos por um tempo?	Справа не в тобі... Мені просто... потрібен час, щоб побути на самоті. Може, почитати книгу абощо. Можемо ми поменше розмовляти якийсь час?	あ、えっと、あなたが悪いんじゃないの…ただ…一人でいる時間が欲しいのよ。本を読むとかね。しばらくの間、話す時間を減らしましょ。	아, 당신 탓은 아닌데... 그게... 그냥 혼자만의 시간을 좀 갖고 싶어서. 책을 읽는다던가. 당분간은 각자의 시간을 좀 갖죠?	不是因为您……我只是……需要一些时间独处，看看书什么的。我们能少说会儿话吗？	不是因為您……我只是……需要一些時間獨處，看看書什麼的。我們能少說一下話嗎？	Woman
1848	Nao e nada pessoal, mas nossas conversas estao comecando a interferir nos meus estudos. Uma pequena pausa pode ser boa para nos dois.	Нічого особистого, але наші розмови починають заважати моєму навчанню. Невелика перерва може бути корисною для нас обох.	あなたを責めてるわけじゃなくて、あなたとのお話の時間が勉強の妨げになり始めているの。少し休んだほうがお互いのためにいいかもしれないわ。	딱히 악감정이 있는 건 아닌데, 자꾸 이렇게 만나니까 공부에 방해가 되기 시작했어요. 조금 시간을 갖는 게 서로를 위해서도 좋을 것 같아요.	我不是针对您，但我们的谈话开始影响我的学习了。休息一下对我们俩都好。	我不是針對您，但我們的談話開始影響我的學習了。休息一下對我們倆都好。	Woman
1849	Ora-ora. Devo admitir que ate uma beldade como eu precisa de espaco. Talvez possamos nos afastar um pouco?	Мушу визнати, навіть такій красуні, як я, потрібен особистий простір. Можливо, ми можемо трохи пригальмувати?	正直言って、私のような美人でも自分の時間って必要なのよ。少しお互いに距離を置いてもいいんじゃないかしら。	정직하게 이야기할게요. 나 같은 미인에게는 나만의 시간이 필요해요. 서로 조금 거리를 두는 게 좋지 않을까요.	哎呀呀~我必须承认，像我这样的美人也需要自己的空间。也许我们可以稍微收敛一下？	哎呀呀~我必須承認，像我這樣的美人也需要自己的空間。也許我們可以稍微收斂一下？	Woman
1850	Por mais lisonjeado que eu esteja com nossos inumeros dialogos, a moderacao e fundamental. Vamos fazer uma breve pausa, sim?	Як би мені не тішили наші численні дзвінки, поміркованість є ключовим фактором. Давай зробимо невелику перерву, добре?	幾度もお話を重ねることができて、とても嬉しいのですが、節度も大切ですわ。しばし小休止にいたしません？	이렇게 자주 교류하는 점은 기쁘지만, 절제도 나름의 가치가 있어요. 잠깐 쉬는 시간을 갖지 않을래요?	我们之间的多次对话让我受宠若惊，但适度是关键。让我们稍事休息，好吗？	我們之間的多次對話讓我受寵若驚，但適度是關鍵。讓我們稍事休息，好嗎？	Woman
1851	Ate mesmo meus hobbies obscuros sao mais interessantes do que nossas conversas ultimamente. Preciso respirar, certo?	Навіть мої дивні забавки останнім часом цікавіші, ніж наші розмови. Треба перепочити, добре?	人には理解されない僕の変な趣味でさえ、この会話よりもましだな。一息つかないか？	요즘은 이야기만 하는 것보다 내 비밀스러운 취미가 더 재미있어서. 잠깐 시간을 좀 갖죠?	最近连我晦涩难懂的爱好都比我们的聊天吸引人。我需要喘口气，好吗？	最近連我晦澀難懂的愛好都比我們的聊天吸引人。我需要喘口氣，好嗎？	Man
1852	Entre meu manga e a codificacao, tenho um prato cheio. Talvez seja melhor darmos uma pausa nesses bate-papos por um tempo.	Між мангою та програмуванням у мене повна чаша проблем. Може, буде краще, якщо ми трохи призупинимо спілкування.	じつは今、漫画とプログラミングで手一杯なんだ。しばらく雑談は小休止させてもらえないかな。	지금 만화 수집하랴, 코딩하랴, 바빠 죽겠습니다. 서로 간의 관계에 잠시 휴식을 갖는 것도 좋겠어요.	漫画和编程让我忙得不可开交。也许我们最好暂停一下聊天。	漫畫和編程讓我忙得不可開交。也許我們最好暫停一下聊天。	Man
